state_name,state_init,county_name
North Carolina,NC,Alamance
North Carolina,NC,Alexander
North Carolina,NC,Alleghany
North Carolina,NC,Anson
North Carolina,NC,Ashe
North Carolina,NC,Avery
North Carolina,NC,Beaufort
North Carolina,NC,Bertie
North Carolina,NC,Bladen
North Carolina,NC,Brunswick
North Carolina,NC,Buncombe
North Carolina,NC,Burke
North Carolina,NC,Cabarrus
North Carolina,NC,Caldwell
North Carolina,NC,Camden
North Carolina,NC,Carteret
North Carolina,NC,Caswell
North Carolina,NC,Catawba
North Carolina,NC,Chatham
North Carolina,NC,Cherokee
North Carolina,NC,Chowan
North Carolina,NC,Clay
North Carolina,NC,Cleveland
North Carolina,NC,Columbus
North Carolina,NC,Craven
North Carolina,NC,Cumberland
North Carolina,NC,Currituck
North Carolina,NC,Dare
North Carolina,NC,Davidson
North Carolina,NC,Davie
North Carolina,NC,Duplin
North Carolina,NC,Durham
North Carolina,NC,Edgecombe
North Carolina,NC,Forsyth
North Carolina,NC,Franklin
North Carolina,NC,Gaston
North Carolina,NC,Gates
North Carolina,NC,Graham
North Carolina,NC,Granville
North Carolina,NC,Greene
North Carolina,NC,Guilford
North Carolina,NC,Halifax
North Carolina,NC,Harnett
North Carolina,NC,Haywood
North Carolina,NC,Henderson
North Carolina,NC,Hertford
North Carolina,NC,Hoke
North Carolina,NC,Hyde
North Carolina,NC,Iredell
North Carolina,NC,Jackson
North Carolina,NC,Johnston
North Carolina,NC,Jones
North Carolina,NC,Lee
North Carolina,NC,Lenoir
North Carolina,NC,Lincoln
North Carolina,NC,McDowell
North Carolina,NC,Macon
North Carolina,NC,Madison
North Carolina,NC,Martin
North Carolina,NC,Mecklenburg
North Carolina,NC,Mitchell
North Carolina,NC,Montgomery
North Carolina,NC,Moore
North Carolina,NC,Nash
North Carolina,NC,New Hanover
North Carolina,NC,Northampton
North Carolina,NC,Onslow
North Carolina,NC,Orange
North Carolina,NC,Pamlico
North Carolina,NC,Pasquotank
North Carolina,NC,Pender
North Carolina,NC,Perquimans
North Carolina,NC,Person
North Carolina,NC,Pitt
North Carolina,NC,Polk
North Carolina,NC,Randolph
North Carolina,NC,Richmond
North Carolina,NC,Robeson
North Carolina,NC,Rockingham
North Carolina,NC,Rowan
North Carolina,NC,Rutherford
North Carolina,NC,Sampson
North Carolina,NC,Scotland
North Carolina,NC,Stanly
North Carolina,NC,Stokes
North Carolina,NC,Surry
North Carolina,NC,Swain
North Carolina,NC,Transylvania
North Carolina,NC,Tyrrell
North Carolina,NC,Union
North Carolina,NC,Vance
North Carolina,NC,Wake
North Carolina,NC,Warren
North Carolina,NC,Washington
North Carolina,NC,Watauga
North Carolina,NC,Wayne
North Carolina,NC,Wilkes
North Carolina,NC,Wilson
North Carolina,NC,Yadkin
North Carolina,NC,Yancey
